"id","time","I"
1,0,1
1,2.32390931366415,2
1,3.56097100467365,3
1,3.67439517720056,4
1,3.89380862772051,5
1,4.01570395337851,6
1,4.13613406922401,7
1,4.40856345093104,8
1,4.41924200597329,9
1,4.97318986929421,10
1,4.97998098348198,11
1,5.14386995600934,12
1,5.38493770215028,13
1,5.53828050169741,14
1,5.94490689208358,15
1,6.07621980615995,16
1,6.15246936895892,17
1,6.19344265429562,18
1,6.23875927623768,19
1,6.27377962876661,20
1,6.3858087279919,21
1,6.41737807851638,22
1,6.47770259346507,23
1,6.51357791603424,24
1,6.51895589017553,25
1,6.93430685987551,26
1,7.06624557707561,27
1,7.26379412398983,28
1,7.32671520031704,29
1,7.50222931206467,30
1,7.62751928989766,31
1,7.99244959763658,32
1,8.32969574488683,33
1,8.60526232278689,34
1,8.64142748670659,35
1,8.67202309842361,36
1,8.71392816435657,37
1,8.95796177563126,38
1,8.99361800658323,39
1,9.00004117027586,40
1,9.01790739001902,41
1,9.44105290885419,42
1,9.90514308009469,43
1,9.96270149365719,44
2,0,1
2,1.35376481244625,2
2,1.51604214058574,3
2,4.2225368626269,4
2,4.71436164401478,5
2,4.89330442028123,6
2,5.33538901419723,7
2,5.62979232216698,8
2,6.14431634132275,9
2,6.54666116058084,10
2,6.54812808058414,11
2,7.106258009576,12
2,7.12633270143228,13
2,7.23331894366748,14
2,7.46304977771032,15
2,7.50965350596165,16
2,7.82548833639891,17
2,7.92386268546022,18
2,7.95864420941722,19
2,8.55285502699139,20
2,8.68698412993577,21
2,8.72496003146207,22
2,8.78836018391337,23
2,8.79920189889551,24
2,9.03437816797201,25
2,9.27690636938727,26
2,9.3858946092708,27
2,9.72983116481802,28
2,9.84794161707812,29
2,9.93558722559137,30
2,9.99509898813837,31
3,0,1
3,2.19099990699294,2
3,3.61600331119683,3
3,3.87236981120692,4
3,4.21780104408174,5
3,4.62759393463383,6
3,5.45421139804452,7
3,5.74456008047305,8
3,6.35094441856483,9
3,6.39718451013217,10
3,6.56189525814155,11
3,6.57230637310738,12
3,7.06401308144966,13
3,7.48010375289183,14
3,7.83582528589701,15
3,7.83902432729811,16
3,7.83936111796185,17
3,8.00242188957485,18
3,8.01613676171383,19
3,8.0416440467175,20
3,8.07708160737223,21
3,8.1287074185635,22
3,8.25000011057394,23
3,8.29837012095433,24
3,8.49270924002182,25
3,8.7581622742239,26
3,8.784791749073,27
3,8.8105514699029,28
3,8.82795260466864,29
3,8.91935798015115,30
3,9.0998641606207,31
3,9.34655765627465,32
3,9.66693674011751,33
3,9.66781991168442,34
3,9.69505066992966,35
3,9.77788269394195,36
3,9.82561404490702,37
3,9.87461830940248,38
